dataset,subset,feats,RMSE
KITTI,07,1000,17.46933530763604
KITTI,05,1300,21.071012469251446 
KITTI,05,1500,22.30575824077232
KITTI,10,1700,10.384995614560443
KITTI,00,2000,9.939578019387838
KITTI,02,1100,20.803253309758258
KITTI,02,1200,19.33196608818634
KITTI,02,1400,20.23089709213644
KITTI,08,1600,19.212431914036085
KITTI,06,1800,52.84341694102562
KITTI,06,1800,49.40700533590733
KITTI,05,1800,21.741606498828283
KITTI,08,1900,17.46127915587273
KITTI,00,2100,10.636498092520172
KITTI,10,2200,4.694200637236867
KITTI,07,2300,16.115074239752335
KITTI,06,2400,51.47614003874725
KITTI,05,2500,21.381936584177932
KITTI,05,2600,22.03645423344217
KITTI,00,2700,10.2904489506368
KITTI,10,2800,3.946357256789747
KITTI,05,2900,22.606417326714375
KITTI,00,3000,9.900432645516714
KITTI,02,1800,21.060583972309736
KITTI,10,1500,8.76731194502266
KITTI,10,1300,3.7429061919183826
KITTI,10,1100,3.8231325089380124
KITTI,08,1400,15.057471068231239
KITTI,06,1200,49.014607733616
KITTI,07,1600,19.756109332061644
KITTI,10,2400,3.83588824014967
KITTI,06,900,53.32599535119087
KITTI,00,1200,10.629860593523658
KITTI,07,1800,17.428934876087084
KITTI,00,2900,18.335633165705886
KITTI,00,900,10.463162521804952
KITTI,10,2600,5.938230235503103
KITTI,07,2500,17.3372527591195
KITTI,05,1000,19.96937502230535
KITTI,06,1900,54.237596265366406
KITTI,08,1800,20.380885766672534
KITTI,00,2300,10.871817060265238
KITTI,10,2100,6.402692137910049
EUROC,V101,1200,0.08702127760617602
EUROC,MH03,1900,0.37957884331117586
EUROC,MH01,900,0.010647810874977931
EUROC,MH03,1700,0.1785504825068385
EUROC,MH04,2700,0.1614114781732275
KITTI,10,1600,2.9302202885690667
KITTI,10,900,3.6539373288870634
KITTI,10,2500,4.254141277333833
KITTI,10,1400,3.2127467588682794
KITTI,10,1800,3.2264219106936083
KITTI,10,1000,3.6228302857923933
KITTI,10,2700,5.903060207303377
KITTI,10,1900,4.7320271467828885
KITTI,10,1200,3.3839538466280397
KITTI,10,2000,4.668195706755397
KITTI,10,2900,14.130437436545119
KITTI,10,3000,23.52169076600069
KITTI,10,2300,8.299786026825958
